NATMON_IND,Indicator,LOCATION,Country,TIME,Value
26534,"Asia: Students from Indonesia, both sexes (number)",AFG,Afghanistan,2020,
26534,"Asia: Students from Indonesia, both sexes (number)",ALB,Albania,2018,
26534,"Asia: Students from Indonesia, both sexes (number)",ALB,Albania,2019,
26534,"Asia: Students from Indonesia, both sexes (number)",ALB,Albania,2020,
26534,"Asia: Students from Indonesia, both sexes (number)",ALB,Albania,2021,
26534,"Asia: Students from Indonesia, both sexes (number)",ALB,Albania,2022,
26534,"Asia: Students from Indonesia, both sexes (number)",AND,Andorra,2017,
26534,"Asia: Students from Indonesia, both sexes (number)",AND,Andorra,2018,
26534,"Asia: Students from Indonesia, both sexes (number)",AND,Andorra,2019,
26534,"Asia: Students from Indonesia, both sexes (number)",AND,Andorra,2020,
26534,"Asia: Students from Indonesia, both sexes (number)",AND,Andorra,2021,
26534,"Asia: Students from Indonesia, both sexes (number)",AND,Andorra,2022,1
26534,"Asia: Students from Indonesia, both sexes (number)",ARE,United Arab Emirates,2019,
26534,"Asia: Students from Indonesia, both sexes (number)",ARE,United Arab Emirates,2020,
26534,"Asia: Students from Indonesia, both sexes (number)",ARG,Argentina,2017,1
26534,"Asia: Students from Indonesia, both sexes (number)",ARG,Argentina,2018,
26534,"Asia: Students from Indonesia, both sexes (number)",ARG,Argentina,2019,
26534,"Asia: Students from Indonesia, both sexes (number)",ARG,Argentina,2020,
26534,"Asia: Students from Indonesia, both sexes (number)",ARG,Argentina,2021,
26534,"Asia: Students from Indonesia, both sexes (number)",ARM,Armenia,2017,
26534,"Asia: Students from Indonesia, both sexes (number)",ARM,Armenia,2018,
26534,"Asia: Students from Indonesia, both sexes (number)",ARM,Armenia,2019,
26534,"Asia: Students from Indonesia, both sexes (number)",ARM,Armenia,2020,
26534,"Asia: Students from Indonesia, both sexes (number)",ARM,Armenia,2021,
26534,"Asia: Students from Indonesia, both sexes (number)",ARM,Armenia,2022,
26534,"Asia: Students from Indonesia, both sexes (number)",AUS,Australia,2017,11040
26534,"Asia: Students from Indonesia, both sexes (number)",AUS,Australia,2018,12180
26534,"Asia: Students from Indonesia, both sexes (number)",AUS,Australia,2019,13880
26534,"Asia: Students from Indonesia, both sexes (number)",AUS,Australia,2020,12852
26534,"Asia: Students from Indonesia, both sexes (number)",AUS,Australia,2021,11683
26534,"Asia: Students from Indonesia, both sexes (number)",AUS,Australia,2022,11516
26534,"Asia: Students from Indonesia, both sexes (number)",AUT,Austria,2017,66
26534,"Asia: Students from Indonesia, both sexes (number)",AUT,Austria,2018,71.09091
26534,"Asia: Students from Indonesia, both sexes (number)",AUT,Austria,2019,53.11111
